run,split,field,label,support,predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1
phase3_v2_visual_retention,val,wall_features,Brick - Corbeled,613,1360,469,891,144,2401,0.344853,0.76509,0.475418
phase3_v2_visual_retention,val,wall_features,Shingles in Gable - Decorative,414,621,341,280,73,3211,0.549114,0.823671,0.658937
phase3_v2_visual_retention,val,wall_features,Half-Timbering,394,973,352,621,42,2890,0.361768,0.893401,0.514996
phase3_v2_visual_retention,val,wall_features,Shutters,308,853,159,694,149,2903,0.186401,0.516234,0.273902
phase3_v2_visual_retention,val,wall_features,Masonry Bay,344,1003,262,741,82,2820,0.261216,0.761628,0.389013
phase3_v2_visual_retention,val,wall_features,Foundation - Brick,318,880,192,688,126,2899,0.218182,0.603774,0.320534
phase3_v2_visual_retention,val,wall_features,Awnings,297,503,114,389,183,3219,0.22664,0.383838,0.285
phase3_v2_visual_retention,val,wall_features,Engaged Columns,277,782,206,576,71,3052,0.263427,0.743682,0.389046
phase3_v2_visual_retention,val,wall_features,Shingles in Gable - Plain,199,701,113,588,86,3118,0.161198,0.567839,0.251111
phase3_v2_visual_retention,val,wall_features,Foundation - Stone,170,747,133,614,37,3121,0.178046,0.782353,0.290076
phase3_v2_visual_retention,val,wall_features,Quoins,169,397,53,344,116,3392,0.133501,0.313609,0.187279
phase3_v2_visual_retention,val,wall_features,Other Wall Details,82,175,13,162,69,3661,0.074286,0.158537,0.101167
phase3_v2_visual_retention,val,wall_features,Rowlock Course,86,25,7,18,79,3801,0.28,0.081395,0.126126
phase3_v2_visual_retention,val,wall_features,Attached Sign,97,214,74,140,23,3668,0.345794,0.762887,0.475884
phase3_v2_visual_retention,val,wall_features,Balcony,53,254,26,228,27,3624,0.102362,0.490566,0.169381
phase3_v2_visual_retention,val,landscape_features,Walkway - Concrete,3182,2524,2216,308,966,415,0.877971,0.696417,0.776726
phase3_v2_visual_retention,val,landscape_features,Fence - Rear,2973,2346,2017,329,956,603,0.859761,0.678439,0.758413
phase3_v2_visual_retention,val,landscape_features,Fence - Left Side,1278,1391,758,633,520,1994,0.544932,0.593114,0.568003
phase3_v2_visual_retention,val,landscape_features,Fence - Right Side,1298,1378,750,628,548,1979,0.544267,0.577812,0.560538
phase3_v2_visual_retention,val,landscape_features,Driveway - Solid,1015,1552,674,878,341,2012,0.434278,0.664039,0.525127
phase3_v2_visual_retention,val,landscape_features,Wall - Retaining,880,2007,599,1408,281,1617,0.298455,0.680682,0.414964
phase3_v2_visual_retention,val,landscape_features,Fence - Front,920,1244,637,607,283,2378,0.512058,0.692391,0.588725
phase3_v2_visual_retention,val,landscape_features,Denver Roll,995,1833,711,1122,284,1788,0.387889,0.714573,0.502829
